,_id,temperatura,data_coleta
0,5dc0ad0da86ebf088b57dca0,23.00905082604613,2019-11-04 19:58:21.697
1,5dc0ad0ea86ebf088b57dca1,22.904099911010757,2019-11-04 19:58:22.698
2,5dc0ad0fa86ebf088b57dca2,18.171300981199508,2019-11-04 19:58:23.700
3,5dc0ad10a86ebf088b57dca3,26.59328617096827,2019-11-04 19:58:24.701
4,5dc0ad11a86ebf088b57dca4,15.3553771033579,2019-11-04 19:58:25.703
5,5dc0ad12a86ebf088b57dca5,29.188122444120452,2019-11-04 19:58:26.704
6,5dc0ad13a86ebf088b57dca6,26.19765516867021,2019-11-04 19:58:27.705
7,5dc0ad14a86ebf088b57dca7,22.58932290744501,2019-11-04 19:58:28.707
8,5dc0ad15a86ebf088b57dca8,29.386558354098206,2019-11-04 19:58:29.708
9,5dc0ad16a86ebf088b57dca9,21.931139982268633,2019-11-04 19:58:30.710
10,5dc0ad17a86ebf088b57dcaa,16.121198980232855,2019-11-04 19:58:31.711
11,5dc0ad18a86ebf088b57dcab,29.96884251385889,2019-11-04 19:58:32.712
12,5dc0ad19a86ebf088b57dcac,28.48110092100817,2019-11-04 19:58:33.714
13,5dc0ad1aa86ebf088b57dcad,20.07689245520813,2019-11-04 19:58:34.715
14,5dc0ad1ba86ebf088b57dcae,23.56112777284376,2019-11-04 19:58:35.716
15,5dc0ad1ca86ebf088b57dcaf,21.967842261466664,2019-11-04 19:58:36.718
16,5dc0ad1da86ebf088b57dcb0,17.022244017894426,2019-11-04 19:58:37.719
17,5dc0ad1ea86ebf088b57dcb1,24.55280238434065,2019-11-04 19:58:38.720
18,5dc0ad1fa86ebf088b57dcb2,25.407818181285354,2019-11-04 19:58:39.722
19,5dc0ad20a86ebf088b57dcb3,27.450285657287722,2019-11-04 19:58:40.723
20,5dc0ad21a86ebf088b57dcb4,29.958078213662592,2019-11-04 19:58:41.724
21,5dc0ad22a86ebf088b57dcb5,20.705840464117287,2019-11-04 19:58:42.726
22,5dc0ad23a86ebf088b57dcb6,27.706641575145923,2019-11-04 19:58:43.727
23,5dc0ad24a86ebf088b57dcb7,26.246053352738556,2019-11-04 19:58:44.728
24,5dc0ad25a86ebf088b57dcb8,18.129672210750286,2019-11-04 19:58:45.730
25,5dc0ad26a86ebf088b57dcb9,19.38189933125232,2019-11-04 19:58:46.731
26,5dc0ad27a86ebf088b57dcba,20.85896821294159,2019-11-04 19:58:47.733
27,5dc0ad28a86ebf088b57dcbb,18.933627889230678,2019-11-04 19:58:48.734
28,5dc0ad29a86ebf088b57dcbc,25.322198997727227,2019-11-04 19:58:49.735
29,5dc0ad2aa86ebf088b57dcbd,19.63625427726391,2019-11-04 19:58:50.737
30,5dc0ad2ba86ebf088b57dcbe,17.371102049276757,2019-11-04 19:58:51.738
31,5dc0ad2ca86ebf088b57dcbf,17.92147376888813,2019-11-04 19:58:52.739
32,5dc0ad2da86ebf088b57dcc0,29.86795152731477,2019-11-04 19:58:53.741
33,5dc0ad2ea86ebf088b57dcc1,15.557020852529178,2019-11-04 19:58:54.742
